Instrument,ESG Score,Year
HUM.N,53.7137415749768,2010
IBM.N,69.4656211341483,2010
JCI.N,83.7776974894937,2010
APD.N,71.5728918546373,2010
A.N,72.7903785192399,2010
KLAC.OQ,33.0260770977168,2010
ADSK.OQ,66.0272806234685,2010
GLW.N,68.7401590558966,2010
HUBB.N,35.801124889491,2010
FFIV.OQ,29.1645721322701,2010
BDX.N,60.3648484664064,2010
PEG.N,74.2906885417695,2010
BR.N,5.11951003180817,2010
META.OQ,,2010
ROP.OQ,14.5730429209223,2010
MAA.N,,2010
HD.N,64.0866436446476,2010
CTAS.OQ,61.5724385279361,2010
BALL.N,48.5667807722442,2010
SJM.N,15.1427073411373,2010
PM.N,47.7268564443325,2010
MTB.N,31.7929756004575,2010
MGM.N,34.4668681444387,2010
IQV.N,,2010
OXY.N,57.6835062443512,2010
NXPI.OQ,,2010
HOLX.OQ,17.752563524141,2010
TDG.N,7.23555384584602,2010
HRL.N,64.4146796952258,2010
YUM.N,78.423448873237,2010
JKHY.OQ,,2010
AEP.OQ,70.9121193654261,2010
ALL.N,79.2581738853108,2010
VRSN.OQ,21.6172873523361,2010
PEP.OQ,83.9396846503473,2010
AJG.N,42.2761864974441,2010
MO.N,59.935936347092,2010
SWKS.OQ,52.8101447732131,2010
PPG.N,60.3031184042458,2010
CRL.N,47.6800982193329,2010
SW.N,,2010
LVS.N,23.6938524750576,2010
CBRE.N,71.7294261803012,2010
HAS.OQ,56.7111158422634,2010
ECL.N,63.7743990638975,2010
EMR.N,50.0154707162776,2010
CNC.N,,2010
SBUX.OQ,81.6642517825623,2010
WFC.N,80.7545004770512,2010
APH.N,27.7034854370197,2010
CMS.N,33.0117149474643,2010
CSGP.OQ,,2010
TPL.N,,2010
TDY.N,,2010
WDC.OQ,33.5648392438968,2010
MAR.OQ,62.5373945008495,2010
MAR.OQ,74.363877508842,2010
EXR.N,,2010
GILD.OQ,22.5988491207446,2010
EME.N,,2010
GL.N,19.8641529116355,2010
V.N,16.6432381389834,2010
LNT.OQ,46.4336677320829,2010
DE.N,67.7503325889099,2010
DECK.N,,2010
SOLS.OQ,,2010
MSCI.N,7.64259201102418,2010
HOOD.OQ,,2010
VLTO.N,,2010
AOS.N,,2010
VST.N,,2010
AKAM.OQ,26.1857414191078,2010
PCAR.OQ,27.5719323664527,2010
KIM.N,33.3083157723374,2010
WAB.N,30.9287980389773,2010
ETR.N,56.8404178453535,2010
EXC.OQ,68.0969319198343,2010
ZTS.N,,2010
MAS.N,81.4404157539477,2010
MCD.N,75.9831655965224,2010
AVGO.OQ,22.8740052677265,2010
CME.OQ,36.2957099173654,2010
IBKR.OQ,24.3245046171021,2010
TT.N,78.1694658103801,2010
WMT.N,81.2329041156099,2010
UBER.N,,2010
INTU.OQ,51.090680905866,2010
CTRA.N,10.5314643353267,2010
NTAP.OQ,27.8180963814365,2010
F.N,75.629612321012,2010
UNH.N,18.8082431131063,2010
WMB.N,60.1956919774445,2010
CVS.N,79.1753061635444,2010
LOW.N,47.2741403905024,2010
ICE.N,26.9605665505818,2010
NDSN.OQ,,2010
LII.N,22.4744626150212,2010
INVH.N,,2010
HCA.N,23.5839199547138,2010
BKNG.OQ,15.4022941932983,2010
DELL.N,,2010
APTV.N,,2010
MOS.N,30.4018267368326,2010
ERIE.OQ,47.5187577109106,2010
HPE.N,,2010
BRKb.N,9.90873114111608,2010
PKG.N,24.074814984761,2010
IDXX.OQ,29.2286886733239,2010
CBOE.Z,,2010
HBAN.OQ,44.8778022753292,2010
COST.OQ,47.0154772527379,2010
NCLH.N,,2010
KR.N,68.4213974474786,2010
ZBRA.OQ,26.4914473420798,2010
ADM.N,57.1108943954202,2010
FITB.OQ,52.7923432861674,2010
REGN.OQ,31.3774755194685,2010
EXPD.N,33.0181266408801,2010
BAX.N,79.9844820122728,2010
UHS.N,12.4816918586692,2010
INTC.OQ,94.931303704079,2010
LDOS.N,68.2057994941698,2010
LH.N,50.234677084332,2010
PH.N,31.6450859379822,2010
BRO.N,37.2885355341277,2010
TSN.N,51.4534085370373,2010
FOX.OQ,,2010
XEL.OQ,71.3584357526044,2010
IVZ.N,49.25376227241,2010
TGT.N,67.0817538808933,2010
BXP.N,32.093023726367,2010
VTR.N,34.6720411151172,2010
CMI.N,69.6228817982885,2010
DGX.N,63.5072499215439,2010
EA.OQ,39.6915128776546,2010
SOLV.N,,2010
RJF.N,36.577286405941,2010
CPAY.N,,2010
CVX.N,69.8262668970507,2010
TYL.N,,2010
CAG.N,73.4552593730518,2010
ISRG.OQ,31.9992162093701,2010
KKR.N,,2010
ALB.N,48.5457517249736,2010
PPL.N,65.6358266271781,2010
JBHT.OQ,36.8019984360601,2010
VMC.N,36.149609770352,2010
HSY.N,74.6426291758654,2010
EOG.N,26.5363121150099,2010
PYPL.OQ,,2010
MTD.N,32.8931023554254,2010
MU.OQ,40.3494014809803,2010
NWS.OQ,,2010
PG.N,57.1607871083569,2010
FDS.N,,2010
ODFL.OQ,,2010
GEHC.OQ,,2010
UAL.OQ,55.2743316689697,2010
FCX.N,84.3578199040912,2010
NOC.N,67.3387236559485,2010
EVRG.OQ,27.7625946280077,2010
ETN.N,65.1647302783457,2010
TAP.N,69.0595919604859,2010
LIN.OQ,73.195876699191,2010
AMZN.OQ,27.6006795681154,2010
MNST.OQ,14.7913166761652,2010
ESS.N,28.4054071573052,2010
JNJ.N,79.7199331210373,2010
NVDA.OQ,43.6696297555761,2010
PNR.N,50.7991657486187,2010
ACN.N,78.3129439583643,2010
CFG.N,,2010
NVR.N,15.1968931037261,2010
PODD.OQ,,2010
FE.N,53.9369516461636,2010
K.N,58.1262306117625,2010
EBAY.OQ,37.8593197527594,2010
KEYS.N,,2010
NWSA.OQ,,2010
WSM.N,29.348447137199,2010
NEM.N,81.509096644874,2010
AIG.N,46.608615085482,2010
WYNN.OQ,18.6281575024915,2010
VRTX.OQ,19.5488497027657,2010
DHI.N,28.3697681833058,2010
JBL.N,53.984741118876,2010
