,return
HUM.N,0.15461028086820047
IBM.N,0.07857740695365105
JCI.N,0.15817329128347027
APD.N,0.10095428475422882
A.N,0.1501848889776266
KLAC.OQ,0.3063528163003978
ADSK.OQ,0.2029854666462118
GLW.N,0.14632897106760875
HUBB.N,0.1751940518366629
FFIV.OQ,0.09938399304789845
BDX.N,0.07760260363546195
PEG.N,0.0821566686141977
BR.N,0.1773623668506244
ROP.OQ,0.1426265962885556
MAA.N,0.07664315718474937
HD.N,0.19419887532415328
CTAS.OQ,0.24766871880307506
BALL.N,0.10182735836435473
SJM.N,0.05370180125486615
PM.N,0.08457576106799822
MTB.N,0.09317849666975148
MGM.N,0.15616126867886115
OXY.N,0.044610821136973414
NXPI.OQ,0.2660040455364305
HOLX.OQ,0.13785109691913733
TDG.N,0.2828967102213087
HRL.N,0.06187502596154744
YUM.N,0.1146548975306013
JKHY.OQ,0.13300597719217816
AEP.OQ,0.09660717545393105
ALL.N,0.14574864303114066
VRSN.OQ,0.15745076322124096
PEP.OQ,0.06754968431311492
AJG.N,0.16460569936252803
MO.N,0.07274676725486516
SWKS.OQ,0.15411835955514622
PPG.N,0.09077987076233672
CRL.N,0.17423132555694978
LVS.N,0.0713617312674214
CBRE.N,0.1888252893849923
HAS.OQ,0.07968928300990392
ECL.N,0.13487075437503965
EMR.N,0.09083572585740975
CNC.N,0.19200168711915966
SBUX.OQ,0.14513527835108753
WFC.N,0.11497729794309511
APH.N,0.23449711455718955
CMS.N,0.11100297887721707
CSGP.OQ,0.21829108811268902
TPL.N,0.3775594092876662
TDY.N,0.19873989857125837
WDC.OQ,0.21651130999020224
MAR.OQ,0.17504266779225647
EXR.N,0.16866466448430256
GILD.OQ,0.1556343867789042
EME.N,0.2565253725783688
GL.N,0.1433119237217081
V.N,0.2140092310523686
LNT.OQ,0.10326702799476621
DE.N,0.15780120218860683
DECK.N,0.23080089343320745
MSCI.N,0.22083911503386255
AOS.N,0.16109573318855544
AKAM.OQ,0.07859140072522935
PCAR.OQ,0.10944538273222747
KIM.N,0.06268873918694189
WAB.N,0.18939740645642034
ETR.N,0.08614021126787241
EXC.OQ,0.05479615728032428
MAS.N,0.17175117285841018
MCD.N,0.10385969234146811
AVGO.OQ,0.3964723160213671
CME.OQ,0.13612387001149429
IBKR.OQ,0.22494963318724115
TT.N,0.23099084974573408
WMT.N,0.13249914290016843
INTU.OQ,0.21029609251210846
CTRA.N,0.13459513764849557
NTAP.OQ,0.1056716679767861
F.N,0.05340547774474628
UNH.N,0.18809499021106052
WMB.N,0.13568538822451925
CVS.N,0.0959471960918137
LOW.N,0.19711071041098704
ICE.N,0.14610596107964596
NDSN.OQ,0.15575932618007018
LII.N,0.20715120979334842
BKNG.OQ,0.2202137980222028
MOS.N,0.016851599196835983
ERIE.OQ,0.13264674704466298
BRKb.N,0.13176041052262605
PKG.N,0.166995500580059
IDXX.OQ,0.24599626688098333
CBOE.Z,0.1810808439777114
HBAN.OQ,0.1162346453518746
COST.OQ,0.20398886197380434
KR.N,0.14663230047475515
ZBRA.OQ,0.19517538451439795
ADM.N,0.07714698887719552
FITB.OQ,0.13269826232480614
REGN.OQ,0.27719055265288034
EXPD.N,0.08448756087149539
BAX.N,0.0030872902668581384
UHS.N,0.15936746208796934
INTC.OQ,0.09847660323113135
LDOS.N,0.15741889792464608
LH.N,0.1161870432665349
PH.N,0.19289533065029615
BRO.N,0.15258816035956158
TSN.N,0.11600296282976849
XEL.OQ,0.09965245001999129
IVZ.N,0.05919847889482731
TGT.N,0.0749280867063519
BXP.N,0.03140309097647922
VTR.N,0.08500695868013698
CMI.N,0.13913578559200543
DGX.N,0.10676878421130719
EA.OQ,0.21189190865898933
RJF.N,0.1779936357559598
CVX.N,0.0756866095602204
TYL.N,0.24566322874958305
CAG.N,0.027728095098066376
ISRG.OQ,0.23822195275185204
KKR.N,0.20966001737669468
ALB.N,0.12971040577205298
PPL.N,0.051187234354558464
JBHT.OQ,0.13283458197910197
VMC.N,0.17198075207571886
HSY.N,0.10251508871821347
EOG.N,0.13133951337970876
MTD.N,0.18870967838512587
MU.OQ,0.32488218671133784
PG.N,0.06921429513765273
FDS.N,0.10203791638730857
ODFL.OQ,0.24855794307287746
UAL.OQ,0.19993306291849477
FCX.N,0.1097812064956268
NOC.N,0.17749221323309752
EVRG.OQ,0.09492126403418234
ETN.N,0.17772876450443142
TAP.N,0.02584477849210047
LIN.OQ,0.12066193065474748
AMZN.OQ,0.2697435580844811
MNST.OQ,0.22591497716131376
ESS.N,0.08173110621475979
JNJ.N,0.08414098757629755
NVDA.OQ,0.5254973052261701
PNR.N,0.14610769201936502
ACN.N,0.1423865840152313
NVR.N,0.19763695102330273
PODD.OQ,0.28347448488881494
