Instrument,ESG Score
HUM.N,64.6640333871023
IBM.N,72.1366271738013
JCI.N,73.8292707275609
APD.N,78.7659255070431
A.N,80.0795362043373
KLAC.OQ,68.9512921307732
ADSK.OQ,79.0470718039483
GLW.N,61.8120911037095
HUBB.N,77.7129419017326
FFIV.OQ,69.9639227788038
BDX.N,86.1295904680268
PEG.N,70.171984563738
BR.N,69.764862648468
META.OQ,60.824818870148
ROP.OQ,59.283026911008
MAA.N,60.7263198445767
HD.N,70.0832123592667
CTAS.OQ,63.8234807944418
BALL.N,69.359890062128
SJM.N,67.8141780980474
PM.N,86.1386562220659
MTB.N,82.2653659450689
MGM.N,69.289479766452
IQV.N,57.3215707650562
OXY.N,77.5491973743701
NXPI.OQ,87.1357977133442
HOLX.OQ,77.628636870027
TDG.N,50.2796298936417
HRL.N,67.8248863763184
YUM.N,81.8048152176488
JKHY.OQ,51.7785817410753
AEP.OQ,57.4634962414266
ALL.N,74.3896036876477
VRSN.OQ,59.1188446841256
PEP.OQ,80.5604847446647
AJG.N,58.3254116956307
MO.N,88.0380181510089
SWKS.OQ,55.4050825135317
PPG.N,74.9673829944187
CRL.N,73.7838709803366
SW.N,75.6109008343373
LVS.N,70.8023387904926
CBRE.N,79.2838716494686
HAS.OQ,83.1679465034402
ECL.N,84.0687773677649
EMR.N,79.1344431115025
CNC.N,75.4160971745599
SBUX.OQ,75.8164912887895
WFC.N,73.6082286279098
APH.N,79.0549895325279
CMS.N,59.0262943429638
CSGP.OQ,70.8986858296028
TPL.N,47.534946511829
TDY.N,36.0817505976701
WDC.OQ,53.3422766012359
MAR.OQ,77.7135128710955
EXR.N,58.8351756926387
GILD.OQ,84.595824741075
EME.N,57.8633457005376
GL.N,61.9160991599215
V.N,57.2018180721597
LNT.OQ,69.6761904217369
DE.N,70.8977902499957
DECK.N,62.7294248785329
SOLS.OQ,
MSCI.N,59.2497994041397
HOOD.OQ,48.745448968143
VLTO.N,76.8860081911971
AOS.N,53.2104372247596
VST.N,61.7586845561133
AKAM.OQ,67.0089794937485
PCAR.OQ,63.3209915238898
KIM.N,79.0507216542794
WAB.N,66.1301613233111
ETR.N,40.7911085060405
EXC.OQ,59.8743389831531
ZTS.N,69.1086249959517
MAS.N,69.4485057342983
MCD.N,66.1457374010139
AVGO.OQ,76.9112665799071
CME.OQ,62.7066860667758
IBKR.OQ,38.1642254093449
TT.N,76.1796055834801
WMT.N,81.0433461372738
UBER.N,77.9789975418507
INTU.OQ,80.9624983574779
CTRA.N,39.2725328440013
NTAP.OQ,60.4097717655763
F.N,70.0924976048896
UNH.N,72.5867907187352
WMB.N,70.2805860761314
CVS.N,73.6875954422171
LOW.N,75.9705297009476
ICE.N,56.1056401328641
NDSN.OQ,66.9372669973223
LII.N,50.8353402409654
INVH.N,65.5225055840687
HCA.N,65.7193158899256
BKNG.OQ,54.548701138016
DELL.N,72.7918314581904
APTV.N,58.9596796427751
MOS.N,70.2634664986321
ERIE.OQ,40.0750961730216
HPE.N,72.2523300315221
BRKb.N,26.7458694684237
PKG.N,72.0652931548818
IDXX.OQ,72.245534434571
CBOE.Z,66.5565410250931
HBAN.OQ,72.8020353102029
COST.OQ,72.0760393125618
NCLH.N,77.3074334785545
KR.N,78.8887419636578
ZBRA.OQ,43.9908283901925
ADM.N,77.6328280414536
FITB.OQ,72.5314673938382
REGN.OQ,68.4040907519012
EXPD.N,61.8422440857803
BAX.N,81.7174817244757
UHS.N,42.0386311003883
INTC.OQ,88.5348798569607
LDOS.N,76.522899350316
