stock,RIC
HUM.N,HUM.N
IBM.N,IBM.N
JCI.N,JCI.N
APD.N,APD.N
A.N,A.N
KLAC.OQ,KLAC.OQ
ADSK.OQ,ADSK.OQ
GLW.N,GLW.N
HUBB.N,HUBB.N
FFIV.OQ,FFIV.OQ
BDX.N,BDX.N
PEG.N,PEG.N
BR.N,BR.N
META.OQ,META.OQ
ROP.OQ,ROP.OQ
MAA.N,MAA.N
HD.N,HD.N
CTAS.OQ,CTAS.OQ
BALL.N,BALL.N
SJM.N,SJM.N
PM.N,PM.N
MTB.N,MTB.N
MGM.N,MGM.N
IQV.N,IQV.N
OXY.N,OXY.N
NXPI.OQ,NXPI.OQ
HOLX.OQ,HOLX.OQ
TDG.N,TDG.N
HRL.N,HRL.N
YUM.N,YUM.N
JKHY.OQ,JKHY.OQ
AEP.OQ,AEP.OQ
ALL.N,ALL.N
VRSN.OQ,VRSN.OQ
PEP.OQ,PEP.OQ
AJG.N,AJG.N
MO.N,MO.N
SWKS.OQ,SWKS.OQ
PPG.N,PPG.N
CRL.N,CRL.N
SW.N,SW.N
LVS.N,LVS.N
CBRE.N,CBRE.N
HAS.OQ,HAS.OQ
ECL.N,ECL.N
EMR.N,EMR.N
CNC.N,CNC.N
SBUX.OQ,SBUX.OQ
WFC.N,WFC.N
APH.N,APH.N
CMS.N,CMS.N
CSGP.OQ,CSGP.OQ
TPL.N,TPL.N
TDY.N,TDY.N
WDC.OQ,WDC.OQ
MAR.OQ,MAR.OQ
EXR.N,EXR.N
GILD.OQ,GILD.OQ
EME.N,EME.N
GL.N,GL.N
V.N,V.N
LNT.OQ,LNT.OQ
DE.N,DE.N
DECK.N,DECK.N
SOLS.OQ,SOLS.OQ
MSCI.N,MSCI.N
HOOD.OQ,HOOD.OQ
VLTO.N,VLTO.N
AOS.N,AOS.N
VST.N,VST.N
AKAM.OQ,AKAM.OQ
PCAR.OQ,PCAR.OQ
KIM.N,KIM.N
WAB.N,WAB.N
ETR.N,ETR.N
EXC.OQ,EXC.OQ
ZTS.N,ZTS.N
MAS.N,MAS.N
MCD.N,MCD.N
AVGO.OQ,AVGO.OQ
