,return
HUM.N,-0.048402544981870355
IBM.N,-0.01814174837906013
JCI.N,0.011853162317558175
APD.N,-0.051493587738504765
A.N,-0.0015690019783066722
KLAC.OQ,-0.005258696600363932
ADSK.OQ,-0.03887985200778221
GLW.N,-0.0032449367796799633
HUBB.N,0.08299921655375808
FFIV.OQ,-0.12864570779243145
BDX.N,-0.04453592814371243
PEG.N,-0.034631515877771024
BR.N,-0.04967230079337692
META.OQ,-0.1364774513198902
ROP.OQ,-0.0379099907273629
MAA.N,-0.03593714758288846
HD.N,-0.01474290757131369
CTAS.OQ,-0.028672885308458906
BALL.N,-0.0571715145436309
SJM.N,-0.011644554738952317
PM.N,-0.057959663207362455
MTB.N,0.0051935272250163145
MGM.N,-0.02673959282892724
IQV.N,-0.0044612059053487085
OXY.N,-0.026004728132387522
NXPI.OQ,-0.05614731901065173
HOLX.OQ,-0.0005409060175795011
TDG.N,-0.033924959024260515
HRL.N,-0.09056444818871079
YUM.N,-0.03336130927402403
JKHY.OQ,-0.04708893154190674
AEP.OQ,0.033250279233611124
ALL.N,-0.008695652173912993
VRSN.OQ,-0.030013752932610438
PEP.OQ,-0.04284871912468058
AJG.N,-0.1057706093189964
MO.N,-0.11546909319108878
SWKS.OQ,0.024789029535865037
PPG.N,-0.07302038880986272
CRL.N,-0.07788816058992232
SW.N,-0.1493087557603685
LVS.N,-0.001514131897711768
CBRE.N,-0.053993669707689484
HAS.OQ,-0.022794211806889342
ECL.N,-0.08333631260948837
EMR.N,0.03800386732113625
CNC.N,0.06696832579185541
SBUX.OQ,-0.07280440265994026
WFC.N,-0.0004597172738765032
APH.N,0.025237289382679773
CMS.N,-0.013942887786566827
CSGP.OQ,-0.1191756272401433
TPL.N,0.015041962556487931
TDY.N,-0.0031033569238920755
WDC.OQ,0.1858372148101366
MAR.OQ,-0.039194719958703494
EXR.N,-0.10681559761888826
GILD.OQ,-0.005644558811322198
EME.N,-0.10474928793800098
GL.N,-0.025779687384250627
V.N,-0.020355356218733855
LNT.OQ,-0.02962532674992746
DE.N,-0.03444886007111492
DECK.N,-0.0991488891345198
SOLS.OQ,-0.014863387978141906
MSCI.N,0.07623523388070064
HOOD.OQ,0.0063074180721240936
VLTO.N,-0.052247406838263566
AOS.N,-0.03818685322839255
VST.N,-0.055193176116407394
AKAM.OQ,-0.005166247185057649
PCAR.OQ,-0.026513652552433764
KIM.N,-0.0764416629414395
WAB.N,0.0204652091444546
ETR.N,-0.013044371405094402
EXC.OQ,-0.04056584148117326
ZTS.N,-0.023317291398359585
MAS.N,-0.052107728337236314
MCD.N,-0.03732258064516125
AVGO.OQ,0.02093633476039214
CME.OQ,-0.020657346268766585
IBKR.OQ,0.012519787019715123
TT.N,0.047562342392827084
WMT.N,-0.0314922944385948
UBER.N,0.000829703381041158
INTU.OQ,-0.023178565679919383
CTRA.N,-0.0004224757076470853
NTAP.OQ,0.005034559262735883
F.N,-0.009803921568627416
UNH.N,-0.06672495764795894
WMB.N,0.003468007629616743
CVS.N,-0.05215281989084275
LOW.N,-0.022655448389082844
ICE.N,-0.08477227227227246
NDSN.OQ,-0.026851269142017964
LII.N,0.005535422723109251
INVH.N,-0.02527700831024937
HCA.N,-0.017483862693968177
BKNG.OQ,-0.03362134591961041
DELL.N,-0.0011098094827055593
APTV.N,-0.058181395888979415
MOS.N,-0.07138024357239503
ERIE.OQ,-0.1131314968027397
HPE.N,0.00992555831265518
BRKb.N,-0.0215747741102712
PKG.N,-0.05251439910943334
IDXX.OQ,-0.027633611368551247
CBOE.Z,0.030931296428421406
HBAN.OQ,-0.01278772378516646
COST.OQ,-0.01978813787169964
NCLH.N,-0.04636324968098693
KR.N,-0.06467734822872262
ZBRA.OQ,-0.1330456901825674
ADM.N,-0.022763965127542862
FITB.OQ,-0.019552414605418234
REGN.OQ,0.11359792246843536
EXPD.N,0.018804847471792785
BAX.N,-0.20284851100561085
UHS.N,0.013923281782927566
INTC.OQ,0.011380880121396153
LDOS.N,0.007191581619163445
LH.N,-0.07872016251904523
PH.N,-0.001743780516158977
BRO.N,-0.09138559708295368
TSN.N,-0.013054329045882329
FOX.OQ,0.06568144499178974
XEL.OQ,0.005948692526955401
IVZ.N,0.010230179028132946
TGT.N,-0.05165183594149525
BXP.N,-0.04481416879109079
VTR.N,0.031306778476590136
CMI.N,0.039471809243338374
DGX.N,-0.023909907910795614
EA.OQ,-0.0021945137157107775
SOLV.N,-0.04084467907752154
RJF.N,-0.018859757605738436
CPAY.N,-0.08404869124683378
CVX.N,0.01571354971664074
TYL.N,-0.06443248340077812
CAG.N,-0.07081081081081075
ISRG.OQ,-0.030784580498866454
KKR.N,-0.03214460984786527
ALB.N,0.020783539436766363
PPL.N,-0.025093432995194842
JBHT.OQ,0.006496989926685348
VMC.N,-0.008595596041231168
HSY.N,-0.06514191237255451
EOG.N,-0.008803146656677252
PYPL.OQ,-0.013950177935942998
MTD.N,-0.0024089426713906903
MU.OQ,0.01667423898228093
NWS.OQ,-0.015826873385012985
PG.N,-0.00902860155529206
FDS.N,-0.08104570660971988
ODFL.OQ,0.026987493600526546
GEHC.OQ,-0.04339502233567316
UAL.OQ,-0.04817813765182177
FCX.N,0.014598540145985384
NOC.N,-0.020974914002852563
EVRG.OQ,-0.01915464180819826
ETN.N,0.004792752936219502
TAP.N,-0.034239010382151824
LIN.OQ,-0.05961962141990007
AMZN.OQ,0.07600123364321276
MNST.OQ,-0.04090126291618856
ESS.N,-0.04021805428484293
JNJ.N,-0.007514450867052158
NVDA.OQ,0.05744425296360123
PNR.N,-0.0254742050765141
ACN.N,-0.0026717709454879834
CFG.N,-0.02003467539973025
NVR.N,-0.030586166518559832
PODD.OQ,-0.03925721301411911
FE.N,-0.013135228251507147
K.N,-0.0007218479307025127
EBAY.OQ,-0.17039077645138245
KEYS.N,0.090540621088395
NWSA.OQ,-0.009345794392523477
WSM.N,0.007673960385772061
NEM.N,0.029759633727584722
AIG.N,-0.004413062665490131
WYNN.OQ,-0.05141900510204089
VRTX.OQ,0.012851940881071888
DHI.N,-0.06156364094170974
JBL.N,0.04573214032097739
IP.N,-0.19817389499896243
KMI.N,0.001529636711281146
EL.N,-0.037527374079235454
MLM.N,-0.0060631606251215775
LYB.N,-0.05438989610918721
VZ.N,0.013000254906958997
VICI.N,-0.03164352599289655
SLB.N,-0.0027654867256633464
ABBV.N,-0.04381002499671105
AMAT.OQ,0.007651407080793593
PSX.N,0.0053167922020378455
PFG.OQ,0.056176951112228535
DVN.N,-0.013361676283024426
SCHW.N,-0.003374103753690405
MMC.N,-0.05047436307429898
AWK.N,-0.06928038263642311
CTVA.N,-0.038948850305021265
TRGP.N,0.00038966099493453754
TRV.N,-0.006362358511504129
TXN.OQ,-0.046927572162209774
AMGN.OQ,0.024969089160599145
DTE.N,-0.042999364541410845
GOOG.OQ,0.044048457007372255
HWM.N,0.02036266349583782
WM.N,-0.0654909482153716
OMC.N,-0.05277777777777781
URI.N,-0.0323877646222539
EPAM.N,0.006709756848261028
SNPS.OQ,-0.024902773898283104
CHRW.OQ,0.19316596931659658
CPT.N,-0.04493087557603681
XYZ.N,-0.052526512788521496
EQR.N,-0.06112778392039164
ROK.N,0.018891931513290494
PRU.N,0.01751296350650633
CARR.N,0.020586721564590738
CAT.N,0.09522454322955198
GDDY.N,0.00947831361844087
SPGI.N,-0.018987596649484795
LW.N,-0.0727054228631514
PLD.N,-0.023528485993075332
KO.N,-0.016557236654296204
PHM.N,-0.003574397339983215
DHR.N,-0.025473960454278077
AXON.OQ,-0.022389853137516513
STT.N,-0.011706400068358547
BK.N,0.0032533928239448784
IT.N,-0.02832772517411386
NSC.N,0.006178099701747097
CDNS.OQ,-0.03616960728514529
CB.N,-0.016827605793808598
AZO.N,-0.036647169400740864
WBD.OQ,0.06701520912547565
KMB.OQ,-0.007544354170121115
EW.N,0.020168275179411
MS.N,-0.01216720877002786
CAH.N,0.16465201465201473
DXCM.OQ,-0.17570437491151059
FIS.N,-0.06027356079963919
WELL.N,-0.00859755763649317
GOOGL.OQ,0.04426783525829081
OTIS.N,0.007713199348180488
CRM.N,0.019336908443261525
LRCX.OQ,0.003569152326322822
STLD.OQ,-0.007720541703581829
QCOM.OQ,-0.036125319693094626
CMG.N,-0.22820263029712629
LLY.N,0.044106436272552285
MET.N,0.012045137568149844
PFE.N,-0.004844570044408525
ARE.N,-0.2523436496725312
PTC.OQ,-0.023317591499409707
CMCSA.OQ,-0.05387491502379327
KHC.OQ,-0.033606877686596315
ACGL.OQ,0.004305329299511662
TFC.N,0.0
IEX.N,0.023031026252983366
C.N,0.00237647291811105
AXP.N,-0.0025990543865953564
WRB.N,-0.052086101514748906
SMCI.OQ,0.0075625363583478045
BAC.N,0.008110147114296584
MSFT.OQ,-0.025793949428055463
AMP.N,-0.0657408744815633
HPQ.N,-0.008954154727793817
GIS.N,-0.034789811555187455
AEE.N,-0.02661959736666364
ABT.N,-0.027991822613618433
DLR.N,-0.0433928370944201
ULTA.OQ,-0.005623350292643825
FTNT.OQ,0.013366162504396595
RMD.N,-0.047567609274333345
PWR.N,0.016545199402471455
MPWR.OQ,-0.0905388896430025
RVTY.N,-0.03674351585014379
DRI.N,-0.018951151772586217
CF.N,-0.035883782845236634
DOC.N,-0.05823714585519402
BLDR.N,-0.056985144898124784
ROL.N,0.02454205939889742
FISV.OQ,-0.472972972972973
TPR.N,-0.04479429416369496
SYY.N,-0.04769230769230759
SYF.N,-0.007737459978655048
UPS.N,0.08069939475453913
MKC.N,-0.0442425145240577
AVY.N,-0.030919266360059927
COO.OQ,-0.040356897735072006
LULU.OQ,-0.05981586636529024
IRM.N,-0.03297012962615076
KEY.N,-0.0011357183418511108
MDT.N,-0.03643896738553054
TSLA.OQ,0.00915078908978395
MDLZ.OQ,-0.06811547194291279
CINF.OQ,-0.019347881248414134
ES.N,-0.012046580109757454
CSCO.OQ,0.024093010225521683
NRG.N,-0.0042296772698301455
NFLX.OQ,0.0222007016518051
APA.OQ,-0.029562982005141403
ATO.N,-0.026254607314998513
EXE.OQ,-0.005487100500577435
WY.N,-0.04246461282264791
MRNA.OQ,0.018754688672167896
ORLY.OQ,-0.014093329157532142
T.N,-0.03055229142185667
GNRC.N,-0.11758836195577949
CTSH.OQ,0.07097722263041861
VRSK.OQ,-0.06384799726121182
ORCL.N,-0.06677327647476894
XOM.N,-0.013627738485423535
HSIC.OQ,-0.005350960025180873
LYV.N,-0.02376444473460837
CLX.N,-0.02632034632034641
TTD.OQ,-0.06211527700055952
RL.N,-0.05305566252925309
AVB.N,-0.07671072888464192
DPZ.OQ,-0.03450448267506667
ON.OQ,-0.049354593773728306
ELV.N,-0.07384157201670127
CHD.N,0.023937412424100746
APO.N,-0.016301337342723765
Q.N,-0.0031479538300104304
CPB.OQ,-0.04014017202930875
PLTR.OQ,0.05967861296120103
AFL.N,-0.0033472803347280866
DD.N,0.0033177684934873053
HAL.N,0.0014925373134326847
NUE.N,0.0408573806881245
CCI.N,-0.0756147540983606
CRWD.OQ,0.025127430621106006
BLK.N,-0.04287065437413262
GPN.N,-0.10404424472865537
UNP.N,0.009806167804609967
EFX.N,-0.07824644135883341
ANET.N,0.0056118869970025465
JPM.N,0.022916324182147063
CSX.OQ,0.0005555555555556424
AMD.OQ,-0.01367119805907513
COP.N,0.0019167888149735912
TER.OQ,0.23227118644067812
WST.N,-0.017930506232156418
NOW.N,-0.028543047057456028
BA.N,-0.09856502242152432
AMT.N,-0.05665946344805761
LUV.N,-0.06046511627906981
O.N,-0.04006622516556291
EQIX.OQ,0.0038444652752231967
RCL.N,-0.10438393805033419
ADBE.OQ,-0.048882057015092184
GRMN.N,-0.14907326386126796
EQT.N,-0.0031627906976743336
RSG.N,-0.057908070937386924
STE.N,-0.02162633348553411
FDX.N,0.026198754750546005
TRMB.OQ,-0.016888560157790833
VTRS.OQ,-0.0057581573896354765
IPG.N,-0.05348579859830316
ALLE.N,-0.03024453024453022
BKR.OQ,0.03884120171673833
CDW.OQ,0.0008792313006340535
RF.N,-0.0016501650165015036
SBAC.OQ,-0.02949822605169805
LHX.N,-0.007006938242769878
PNW.N,-0.035729847494553324
INCY.OQ,0.004297378599054769
COF.N,-0.015660655957761116
OKE.N,-0.033049502092654226
BIIB.OQ,0.02552682310709309
BSX.N,-0.016694327833642553
AIZ.N,-0.002214995994156088
RTX.N,-0.00412854273599661
MPC.N,-0.006726800183458059
TECH.OQ,-0.02614785992217894
BEN.N,-0.03293413173652704
BX.N,-0.04686382840429004
TXT.N,0.004225177084627996
ALGN.OQ,0.016439366015480683
NTRS.OQ,0.019572107765451596
MTCH.OQ,-0.014625228519195566
SHW.N,0.02636277076886473
GE.N,-0.012434471295230565
MSI.N,-0.0839658550868263
KVUE.N,-0.047082228116711033
TMO.N,0.006403206924687099
DDOG.OQ,0.032927293490673915
FOXA.OQ,0.05516566019259028
WDAY.OQ,0.004227533380770865
MCK.N,-0.00012323770087752095
DAY.N,0.004236669101533863
BMY.N,0.06176538372897
CEG.OQ,-0.03617538028889178
CHTR.OQ,-0.04726205997392452
DASH.OQ,-0.03409910765141466
IFF.N,-0.03553377240006139
PAYC.N,-0.06567119456652015
TSCO.OQ,-0.040092247649458845
MOH.N,-0.05629200320611627
FTV.N,0.01758641600970301
KDP.OQ,-0.07081765309613419
MCO.N,-0.029853761008321933
STZ.N,-0.04769498405334882
LEN.N,-0.038455562461156
PSKY.OQ,-0.07093268940537278
CL.N,-0.010021842477193843
MRK.N,-0.02295454545454545
CPRT.OQ,-0.02604166666666663
MA.N,-0.03558948913271376
UDR.N,-0.06442654818106086
AAPL.OQ,0.005803355529928389
DUK.N,-0.025021570319240682
DLTR.OQ,-0.03382395945023864
BG.N,-0.018875751918689176
SO.N,-0.014255765199161385
TMUS.OQ,-0.04816929490665223
GEV.N,0.0012833895172743581
DG.N,-0.03999221562712851
WAT.N,-0.006112295664534417
NKE.N,-0.05831753899985426
FSLR.OQ,0.07771811538616813
USB.N,-0.023430962343096162
CI.N,-0.2094896176984281
HII.N,0.06738705293513214
TTWO.OQ,0.008258937350061002
LKQ.OQ,0.015247776365946653
AON.N,0.011310000890551342
ITW.N,-0.015697510189257913
GD.N,-0.025072787404245678
GWW.N,0.0007052979117050384
L.N,-0.004997001798920597
FANG.OQ,-0.00837950138504151
GEN.OQ,-0.017883755588673833
SRE.N,-0.013201674358699234
POOL.OQ,-0.09027115410818909
BBY.N,-0.008928571428571286
WTW.OQ,-0.042097534112464086
AME.N,0.08224899598393587
XYL.N,0.00970548862115117
SPG.N,-0.02236066303259554
ADP.OQ,-0.07211349944747436
FICO.N,-0.015168329288049898
EIX.N,-0.026884554559831186
HLT.N,-0.03478326196378945
GM.N,-0.00417987892764482
ABNB.OQ,-0.019601766483303584
EG.N,-0.08564451421594288
HIG.N,-0.00632151716411955
ZBH.N,-0.02482544608223436
APP.OQ,-0.008972166070595256
GS.N,-0.000784820061013547
NDAQ.OQ,-0.03705789592250508
NEE.N,-0.053818435429501266
DAL.N,-0.05078577336641865
DVA.N,-0.0812813585488229
WEC.N,-0.04242372300308539
TROW.OQ,-0.022686111905442563
HST.OQ,-0.03725961538461542
PGR.N,-0.04889422411006994
FRT.N,-0.047529458362214005
AES.N,-0.042788129744651626
MHK.N,-0.04656430908633269
FAST.OQ,-0.032675129290079985
COR.N,0.005237315875613824
ROST.OQ,-0.01126112113482236
PSA.N,-0.07251781314510208
CCL.N,-0.020054384772264067
DIS.N,0.0024924336834608596
DOW.N,-0.07306645938593082
MCHP.OQ,-0.032997676219984395
REG.OQ,-0.057802678327411816
CNP.N,-0.03774534474081537
COIN.OQ,-0.048833799075893025
PAYX.OQ,-0.06383489320854341
BFb.N,-0.04456140350877191
LMT.N,0.010207225154545752
TEL.N,0.043380924220663974
J.N,-0.032236024844720323
D.N,-0.034703947368421195
IR.N,-0.048728813559321904
TKO.N,0.004746413524612247
SNA.N,-0.030902527075812314
PANW.OQ,-0.00022697353488565497
SWK.N,-0.06048834628190891
TJX.N,-0.021846862567180936
ED.N,-0.02803831570544779
EXPE.OQ,-0.011235955056179803
GPC.N,-0.031273778724699386
NI.N,-0.0370455065172649
SYK.N,-0.07161471906598582
HON.OQ,-0.006422629362868748
ADI.OQ,-0.03654170610262941
VLO.N,-0.027473472899340434
STX.OQ,0.11097603334491124
